Description,ICD Code
"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",E10.3541
"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",E10.3542
"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",E10.3543
"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",E10.3549
Type 1 diabetes mellitus with stable proliferative diabetic retinopathy,E10.355
"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",E10.3551
"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",E10.3552
"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",E10.3553
"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",E10.3559
Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,E10.359
"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",E10.3591
"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",E10.3592
"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",E10.3593
"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",E10.3599
"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment",E10.37
"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",E10.37X1
"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",E10.37X2
"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",E10.37X3
"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",E10.37X9
Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,E11.321
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",E11.3211
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",E11.3212
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",E11.3213
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",E11.3219
Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,E11.329
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",E11.3291
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",E11.3292
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",E11.3293
"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",E11.3299
Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,E11.331
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",E11.3311
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",E11.3312
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",E11.3313
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",E11.3319
Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,E11.339
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",E11.3391
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",E11.3392
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",E11.3393
"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",E11.3399
Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,E11.341
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",E11.3411
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",E11.3412
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",E11.3413
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",E11.3419
Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,E11.349
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",E11.3491
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",E11.3492
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",E11.3493
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",E11.3499
Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,E11.351
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",E11.3511
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",E11.3512
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",E11.3513
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",E11.3519
Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,E11.352
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",E11.3521
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",E11.3522
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",E11.3523
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",E11.3529
Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,E11.353
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",E11.3531
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",E11.3532
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",E11.3533
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",E11.3539
Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,E11.354
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",E11.3541
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",E11.3542
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",E11.3543
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",E11.3549
Type 2 diabetes mellitus with stable proliferative diabetic retinopathy,E11.355
"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",E11.3551
"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",E11.3552
"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",E11.3553
"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",E11.3559
Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,E11.359
"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",E11.3591
"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",E11.3592
"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",E11.3593
"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",E11.3599
"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment",E11.37
"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",E11.37X1
"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",E11.37X2
"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",E11.37X3
"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",E11.37X9
Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,E13.321
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",E13.3211
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",E13.3212
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",E13.3213
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",E13.3219
Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,E13.329
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",E13.3291
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",E13.3292
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",E13.3293
"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",E13.3299
Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,E13.331
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",E13.3311
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",E13.3312
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",E13.3313
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",E13.3319
Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,E13.339
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",E13.3391
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",E13.3392
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",E13.3393
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",E13.3399
Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,E13.341
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",E13.3411
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",E13.3412
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",E13.3413
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",E13.3419
Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,E13.349
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",E13.3491
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",E13.3492
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",E13.3493
"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",E13.3499
Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,E13.351
"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",E13.3511
"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",E13.3512
"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",E13.3513
"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",E13.3519
Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,E13.352
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",E13.3521
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",E13.3522
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",E13.3523
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",E13.3529
Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,E13.353
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",E13.3531
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",E13.3532
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",E13.3533
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",E13.3539
Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,E13.354
"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",E13.3541
"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",E13.3542
"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",E13.3543
"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",E13.3549
Other specified diabetes mellitus with stable proliferative diabetic retinopathy,E13.355
"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",E13.3551
"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",E13.3552
"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",E13.3553
"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",E13.3559
Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,E13.359
"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",E13.3591
"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",E13.3592
"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",E13.3593
"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",E13.3599
"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment",E13.37
"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",E13.37X1
"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",E13.37X2
"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",E13.37X3
"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",E13.37X9
Pure hypercholesterolemia,E78.0
"Pure hypercholesterolemia, unspecified",E78.00
Familial hypercholesterolemia,E78.01
Postprocedural hematoma and seroma of an endocrine system organ or structure,E89.82
Postprocedural hematoma of an endocrine system organ or structure following an endocrine system procedure,E89.820
Postprocedural hematoma of an endocrine system organ or structure following other procedure,E89.821
Postprocedural seroma of an endocrine system organ or structure following an endocrine system procedure,E89.822
Postprocedural seroma of an endocrine system organ or structure following other procedure,E89.823
Other depressive episodes,F32.8
Premenstrual dysphoric disorder,F32.81
Other specified depressive episodes,F32.89
Other persistent mood [affective] disorders,F34.8
Disruptive mood dysregulation disorder,F34.81
Other specified persistent mood disorders,F34.89
Obsessive-compulsive disorder,F42
Mixed obsessional thoughts and acts,F42.2
Hoarding disorder,F42.3
Excoriation (skin-picking) disorder,F42.4
Other obsessive-compulsive disorder,F42.8
"Obsessive-compulsive disorder, unspecified",F42.9
Other eating disorders,F50.8
Binge eating disorder,F50.81
Other specified eating disorder,F50.89
Transsexualism,F64.0
Social pragmatic communication disorder,F80.82
"Carpal tunnel syndrome, bilateral upper limbs",G56.03
"Other lesions of median nerve, bilateral upper limbs",G56.13
"Lesion of ulnar nerve, bilateral upper limbs",G56.23
"Lesion of radial nerve, bilateral upper limbs",G56.33
Causalgia of bilateral upper limbs,G56.43
Other specified mononeuropathies of bilateral upper limbs,G56.83
Unspecified mononeuropathy of bilateral upper limbs,G56.93
"Lesion of sciatic nerve, bilateral lower limbs",G57.03
"Meralgia paresthetica, bilateral lower limbs",G57.13
"Lesion of femoral nerve, bilateral lower limbs",G57.23
"Lesion of lateral popliteal nerve, bilateral lower limbs",G57.33
"Lesion of medial popliteal nerve, bilateral lower limbs",G57.43
"Tarsal tunnel syndrome, bilateral lower limbs",G57.53
"Lesion of plantar nerve, bilateral lower limbs",G57.63
Causalgia of bilateral lower limbs,G57.73
Other specified mononeuropathies of bilateral lower limbs,G57.83
Unspecified mononeuropathy of bilateral lower limbs,G57.93
Multifocal motor neuropathy,G61.82
Postprocedural hematoma and seroma of a nervous system organ or structure following a procedure,G97.6
Postprocedural hematoma of a nervous system organ or structure following a nervous system procedure,G97.61
Postprocedural hematoma of a nervous system organ or structure following other procedure,G97.62
Postprocedural seroma of a nervous system organ or structure following a nervous system procedure,G97.63
Postprocedural seroma of a nervous system organ or structure following other procedure,G97.64
"Central retinal vein occlusion, right eye",H34.811
"Central retinal vein occlusion, right eye, with macular edema",H34.8110
"Central retinal vein occlusion, right eye, with retinal neovascularization",H34.8111
"Central retinal vein occlusion, right eye, stable",H34.8112
"Central retinal vein occlusion, left eye",H34.812
"Central retinal vein occlusion, left eye, with macular edema",H34.8120
"Central retinal vein occlusion, left eye, with retinal neovascularization",H34.8121
"Central retinal vein occlusion, left eye, stable",H34.8122
"Central retinal vein occlusion, bilateral",H34.813
"Central retinal vein occlusion, bilateral, with macular edema",H34.8130
"Central retinal vein occlusion, bilateral, with retinal neovascularization",H34.8131
"Central retinal vein occlusion, bilateral, stable",H34.8132
"Central retinal vein occlusion, unspecified eye",H34.819
"Central retinal vein occlusion, unspecified eye, with macular edema",H34.8190
"Central retinal vein occlusion, unspecified eye, with retinal neovascularization",H34.8191
"Central retinal vein occlusion, unspecified eye, stable",H34.8192
"Tributary (branch) retinal vein occlusion, right eye",H34.831
"Tributary (branch) retinal vein occlusion, right eye, with macular edema",H34.8310
"Tributary (branch) retinal vein occlusion, right eye, with retinal neovascularization",H34.8311
"Tributary (branch) retinal vein occlusion, right eye, stable",H34.8312
"Tributary (branch) retinal vein occlusion, left eye",H34.832
"Tributary (branch) retinal vein occlusion, left eye, with macular edema",H34.8320
"Tributary (branch) retinal vein occlusion, left eye, with retinal neovascularization",H34.8321
"Tributary (branch) retinal vein occlusion, left eye, stable",H34.8322
"Tributary (branch) retinal vein occlusion, bilateral",H34.833
"Tributary (branch) retinal vein occlusion, bilateral, with macular edema",H34.8330
"Tributary (branch) retinal vein occlusion, bilateral, with retinal neovascularization",H34.8331
"Tributary (branch) retinal vein occlusion, bilateral, stable",H34.8332
"Tributary (branch) retinal vein occlusion, unspecified eye",H34.839
"Tributary (branch) retinal vein occlusion, unspecified eye, with macular edema",H34.8390
"Tributary (branch) retinal vein occlusion, unspecified eye, with retinal neovascularization",H34.8391
"Tributary (branch) retinal vein occlusion, unspecified eye, stable",H34.8392
Nonexudative age-related macular degeneration,H35.31
"Nonexudative age-related macular degeneration, right eye",H35.311
"Nonexudative age-related macular degeneration, right eye, stage unspecified",H35.3110
"Nonexudative age-related macular degeneration, right eye, early dry stage",H35.3111
"Nonexudative age-related macular degeneration, right eye, intermediate dry stage",H35.3112
"Nonexudative age-related macular degeneration, right eye, advanced atrophic without subfoveal involvement",H35.3113
"Nonexudative age-related macular degeneration, right eye, advanced atrophic with subfoveal involvement",H35.3114
"Nonexudative age-related macular degeneration, left eye",H35.312
"Nonexudative age-related macular degeneration, left eye, stage unspecified",H35.3120
"Nonexudative age-related macular degeneration, left eye, early dry stage",H35.3121
"Nonexudative age-related macular degeneration, left eye, intermediate dry stage",H35.3122
"Nonexudative age-related macular degeneration, left eye, advanced atrophic without subfoveal involvement",H35.3123
"Nonexudative age-related macular degeneration, left eye, advanced atrophic with subfoveal involvement",H35.3124
"Nonexudative age-related macular degeneration, bilateral",H35.313
"Nonexudative age-related macular degeneration, bilateral, stage unspecified",H35.3130
"Nonexudative age-related macular degeneration, bilateral, early dry stage",H35.3131
"Nonexudative age-related macular degeneration, bilateral, intermediate dry stage",H35.3132
"Nonexudative age-related macular degeneration, bilateral, advanced atrophic without subfoveal involvement",H35.3133
"Nonexudative age-related macular degeneration, bilateral, advanced atrophic with subfoveal involvement",H35.3134
"Nonexudative age-related macular degeneration, unspecified eye",H35.319
"Nonexudative age-related macular degeneration, unspecified eye, stage unspecified",H35.3190
"Nonexudative age-related macular degeneration, unspecified eye, early dry stage",H35.3191
"Nonexudative age-related macular degeneration, unspecified eye, intermediate dry stage",H35.3192
"Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic without subfoveal involvement",H35.3193
"Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic with subfoveal involvement",H35.3194
Exudative age-related macular degeneration,H35.32
"Exudative age-related macular degeneration, right eye",H35.321
"Exudative age-related macular degeneration, right eye, stage unspecified",H35.3210
"Exudative age-related macular degeneration, right eye, with active choroidal neovascularization",H35.3211
"Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization",H35.3212
"Exudative age-related macular degeneration, right eye, with inactive scar",H35.3213
"Exudative age-related macular degeneration, left eye",H35.322
"Exudative age-related macular degeneration, left eye, stage unspecified",H35.3220
"Exudative age-related macular degeneration, left eye, with active choroidal neovascularization",H35.3221
"Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization",H35.3222
"Exudative age-related macular degeneration, left eye, with inactive scar",H35.3223
"Exudative age-related macular degeneration, bilateral",H35.323
"Exudative age-related macular degeneration, bilateral, stage unspecified",H35.3230
"Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization",H35.3231
"Exudative age-related macular degeneration, bilateral, with inactive choroidal neovascularization",H35.3232
"Exudative age-related macular degeneration, bilateral, with inactive scar",H35.3233
"Exudative age-related macular degeneration, unspecified eye",H35.329
"Exudative age-related macular degeneration, unspecified eye, stage unspecified",H35.3290
"Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization",H35.3291
"Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization",H35.3292
"Exudative age-related macular degeneration, unspecified eye, with inactive scar",H35.3293
"Primary open-angle glaucoma, right eye",H40.111
"Primary open-angle glaucoma, right eye, stage unspecified",H40.1110
"Primary open-angle glaucoma, right eye, mild stage",H40.1111
"Primary open-angle glaucoma, right eye, moderate stage",H40.1112
"Primary open-angle glaucoma, right eye, severe stage",H40.1113
"Primary open-angle glaucoma, right eye, indeterminate stage",H40.1114
"Primary open-angle glaucoma, left eye",H40.112
"Primary open-angle glaucoma, left eye, stage unspecified",H40.1120
"Primary open-angle glaucoma, left eye, mild stage",H40.1121
"Primary open-angle glaucoma, left eye, moderate stage",H40.1122
"Primary open-angle glaucoma, left eye, severe stage",H40.1123
"Primary open-angle glaucoma, left eye, indeterminate stage",H40.1124
"Primary open-angle glaucoma, bilateral",H40.113
"Primary open-angle glaucoma, bilateral, stage unspecified",H40.1130
"Primary open-angle glaucoma, bilateral, mild stage",H40.1131
"Primary open-angle glaucoma, bilateral, moderate stage",H40.1132
"Primary open-angle glaucoma, bilateral, severe stage",H40.1133
"Primary open-angle glaucoma, bilateral, indeterminate stage",H40.1134
"Primary open-angle glaucoma, unspecified eye",H40.119
"Primary open-angle glaucoma, unspecified eye, stage unspecified",H40.1190
"Primary open-angle glaucoma, unspecified eye, mild stage",H40.1191
"Primary open-angle glaucoma, unspecified eye, moderate stage",H40.1192
"Primary open-angle glaucoma, unspecified eye, severe stage",H40.1193
"Primary open-angle glaucoma, unspecified eye, indeterminate stage",H40.1194
Amblyopia suspect,H53.04
"Amblyopia suspect, right eye",H53.041
"Amblyopia suspect, left eye",H53.042
"Amblyopia suspect, bilateral",H53.043
"Amblyopia suspect, unspecified eye",H53.049
Postprocedural hematoma of eye and adnexa following an ophthalmic procedure,H59.33
Postprocedural hematoma of right eye and adnexa following an ophthalmic procedure,H59.331
Postprocedural hematoma of left eye and adnexa following an ophthalmic procedure,H59.332
"Postprocedural hematoma of eye and adnexa following an ophthalmic procedure, bilateral",H59.333
Postprocedural hematoma of unspecified eye and adnexa following an ophthalmic procedure,H59.339
Postprocedural hematoma of eye and adnexa following other procedure,H59.34
Postprocedural hematoma of right eye and adnexa following other procedure,H59.341
Postprocedural hematoma of left eye and adnexa following other procedure,H59.342
"Postprocedural hematoma of eye and adnexa following other procedure, bilateral",H59.343
Postprocedural hematoma of unspecified eye and adnexa following other procedure,H59.349
Postprocedural seroma of eye and adnexa following an ophthalmic procedure,H59.35
Postprocedural seroma of right eye and adnexa following an ophthalmic procedure,H59.351
Postprocedural seroma of left eye and adnexa following an ophthalmic procedure,H59.352
"Postprocedural seroma of eye and adnexa following an ophthalmic procedure, bilateral",H59.353
Postprocedural seroma of unspecified eye and adnexa following an ophthalmic procedure,H59.359
Postprocedural seroma of eye and adnexa following other procedure,H59.36
Postprocedural seroma of right eye and adnexa following other procedure,H59.361
Postprocedural seroma of left eye and adnexa following other procedure,H59.362
"Postprocedural seroma of eye and adnexa following other procedure, bilateral",H59.363
Postprocedural seroma of unspecified eye and adnexa following other procedure,H59.369
Conductive and sensorineural hearing loss with restricted hearing on the contralateral side,H90.A
"Conductive hearing loss, unilateral, with restricted hearing on the contralateral side",H90.A1
"Conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side",H90.A11
"Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side",H90.A12
"Sensorineural hearing loss, unilateral, with restricted hearing on the contralateral side",H90.A2
"Sensorineural hearing loss, unilateral, right ear, with restricted hearing on the contralateral side",H90.A21
"Sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side",H90.A22
"Mixed conductive and sensorineural hearing loss, unilateral with restricted hearing on the contralateral side",H90.A3
"Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side",H90.A31
"Mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side",H90.A32
Pulsatile tinnitus,H93.A
"Pulsatile tinnitus, right ear",H93.A1
"Pulsatile tinnitus, left ear",H93.A2
"Pulsatile tinnitus, bilateral",H93.A3
"Pulsatile tinnitus, unspecified ear",H93.A9
Postprocedural hematoma and seroma of ear and mastoid process following a procedure,H95.5
Postprocedural hematoma of ear and mastoid process following a procedure on the ear and mastoid process,H95.51
Postprocedural hematoma of ear and mastoid process following other procedure,H95.52
Postprocedural seroma of ear and mastoid process following a procedure on the ear and mastoid process,H95.53
Postprocedural seroma of ear and mastoid process following other procedure,H95.54
Hypertensive crisis,I16
Hypertensive urgency,I16.0
Hypertensive emergency,I16.1
"Hypertensive crisis, unspecified",I16.9
Nontraumatic subarachnoid hemorrhage from anterior communicating artery,I60.2
Cerebral infarction due to thrombosis of bilateral vertebral arteries,I63.013
Cerebral infarction due to thrombosis of bilateral carotid arteries,I63.033
Cerebral infarction due to embolism of bilateral vertebral arteries,I63.113
Cerebral infarction due to embolism of bilateral carotid arteries,I63.133
Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries,I63.213
Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries,I63.233
Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,I63.313
Cerebral infarction due to thrombosis of bilateral anterior arteries,I63.323
Cerebral infarction to thrombosis of bilateral posterior arteries,I63.333
Cerebral infarction to thrombosis of bilateral cerebellar arteries,I63.343
Cerebral infarction due to embolism of bilateral middle cerebral arteries,I63.413
Cerebral infarction due to embolism of bilateral anterior cerebral arteries,I63.423
Cerebral infarction due to embolism of bilateral posterior cerebral arteries,I63.433
Cerebral infarction due to embolism of bilateral cerebellar arteries,I63.443
Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle arteries,I63.513
Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior arteries,I63.523
Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior arteries,I63.533
Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries,I63.543
Cognitive deficits following nontraumatic subarachnoid hemorrhage,I69.01
Attention and concentration deficit following nontraumatic subarachnoid hemorrhage,I69.010
Memory deficit following nontraumatic subarachnoid hemorrhage,I69.011
